시간,카테고리,키워드,월간검색량,블로그,포화도,난이도
00:17,금융,소상공인,27160,2113847,77.83,🔴
00:17,금융,알바,62300,5205820,83.56,🔴
00:17,금융,개인회생대출,11760,1028430,87.45,🔴
00:17,금융,대출금리,28730,3132114,109.02,🔴
00:17,금융,대출,91100,10106854,110.94,🔴
00:17,금융,대출이자,21240,2393583,112.69,🔴
00:17,금융,은행금리,25020,3281638,131.16,🔴
00:17,금융,금리전망,11160,1757686,157.5,🔴
00:17,금융,지원금,18030,3876646,215.01,🔴
00:17,금융,빚,15790,4263703,270.03,🔴
00:17,금융,취업,12420,10207291,821.84,🔴
00:20,자동차,환율조회,963200,15281,0.02,🟢
00:20,자동차,코덱스200,101300,3917,0.04,🟢
00:20,자동차,에스피지주가,316400,17121,0.05,🟢
00:20,자동차,셀토스풀체인지,188600,9842,0.05,🟢
00:20,자동차,삼성전자주가,12697100,819012,0.06,🟢
00:20,자동차,삼성중공업주가,1357900,82684,0.06,🟢
00:20,자동차,삼성전자우주가,473400,34384,0.07,🟢
00:20,자동차,EV5,138000,12323,0.09,🟢
00:20,자동차,삼성전자우,744000,79538,0.11,🟢
00:20,자동차,종합주가지수,318070,50851,0.16,🟢
00:20,자동차,원달러환율,1132400,230592,0.2,🟢
00:20,자동차,주식시세,536800,114425,0.21,🟢
00:20,자동차,이수페타시스주가,171340,35585,0.21,🟢
00:20,자동차,GV90,83300,17609,0.21,🟢
00:20,자동차,EV3,167900,38687,0.23,🟢
00:20,자동차,레인보우로보틱스주가,185850,44825,0.24,🟢
00:20,자동차,셀토스,519600,170510,0.33,🟢
00:20,자동차,테슬라모델Y,382000,148102,0.39,🟢
00:20,자동차,트레이딩뷰,81900,41078,0.5,🟢
00:20,자동차,EV9,98100,51316,0.52,🟡
00:20,자동차,렉서스ES300H,86500,47625,0.55,🟡
00:20,자동차,펠리세이드,186300,107662,0.58,🟡
00:20,자동차,폴스타,75400,43702,0.58,🟡
00:20,자동차,GV70,224300,142082,0.63,🟡
00:20,자동차,BMW5시리즈,92800,59122,0.64,🟡
00:20,자동차,셀토스하이브리드,87200,56251,0.65,🟡
00:20,자동차,코스피지수,1317200,916090,0.7,🟡
00:20,자동차,BYD,180700,128242,0.71,🟡
00:20,자동차,테슬라모델X,106900,84552,0.79,🟡
00:20,자동차,BYD전기차,88650,86881,0.98,🟡
00:20,자동차,EV6,117300,116123,0.99,🟡
00:20,자동차,제네시스GV70,109800,117313,1.07,🟠
00:20,자동차,테슬라모델3,110300,133772,1.21,🟠
00:20,자동차,K8,120100,148012,1.23,🟠
00:20,자동차,쏘렌토하이브리드,158500,212379,1.34,🟠
00:20,자동차,코스피200,163100,253318,1.55,🔴
00:20,자동차,제네시스GV80,97700,159629,1.63,🔴
00:20,자동차,아이오닉5,134800,222895,1.65,🔴
00:20,자동차,스타리아,90000,149667,1.66,🔴
00:20,자동차,아이오닉6,85200,142996,1.68,🔴
00:20,자동차,제네시스G80,183400,319753,1.74,🔴
00:20,자동차,카니발하이브리드,106100,193534,1.82,🔴
00:20,자동차,스포티지하이브리드,90700,168079,1.85,🔴
00:20,자동차,팰리세이드,138900,272251,1.96,🔴
00:20,자동차,BMWX3,92700,202403,2.18,🔴
00:20,자동차,국제유가,291100,656500,2.26,🔴
00:20,자동차,현대차,666200,1509559,2.27,🔴
00:20,자동차,G80,166500,387463,2.33,🔴
00:20,자동차,BMWX5,89500,241115,2.69,🔴
00:20,자동차,스포티지,283200,782115,2.76,🔴
00:20,자동차,그랜저하이브리드,89500,255031,2.85,🔴
