시간,카테고리,키워드,월간검색량,블로그,뉴스,웹문서,포화도,난이도
00:10,정부정책,근로계약서,24110,444478,88040,17981630,18.44,🔴
00:10,정부정책,신용보증재단대출,5020,104527,100672,1612109,20.82,🔴
00:10,정부정책,구직사이트,13310,277656,67543,27918756,20.86,🔴
00:10,정부정책,공공기관채용,16570,358586,243676,17298111,21.64,🔴
00:10,정부정책,청년수당,7140,191009,162194,5195772,26.75,🔴
00:10,정부정책,노무사상담,6520,191322,27082,6104086,29.34,🔴
00:10,정부정책,맞춤형복지,13830,548776,973934,20038500,39.68,🔴
00:10,정부정책,청년사업지원금,5000,211146,163698,19837487,42.23,🔴
00:10,정부정책,승진축하선물,5150,232098,4230,1478295,45.07,🔴
00:10,정부정책,창업지원금,6000,289970,148525,20623863,48.33,🔴
00:10,정부정책,채용사이트,10780,523650,161779,123064196,48.58,🔴
00:10,정부정책,공기업,20460,1052020,950436,15351075,51.42,🔴
00:10,정부정책,일자리사이트,5810,311978,95287,18097066,53.7,🔴
00:10,정부정책,중소기업정책자금,7360,420394,118860,10383904,57.12,🔴
00:10,정부정책,사무실간식,8000,534494,13469,5313281,66.81,🔴
00:10,정부정책,서울원데이클래스,4890,332853,14346,2667049,68.07,🔴
00:10,정부정책,소상공인,27580,2112046,2190799,29706224,76.58,🔴
00:10,정부정책,알바,62000,5205380,318484,51670808,83.96,🔴
00:10,정부정책,모바일상품권,6650,572507,417733,53285536,86.09,🔴
00:10,정부정책,정부지원금신청,8010,705813,170877,20197068,88.12,🔴
00:10,정부정책,복지카드,7640,731414,411377,24787825,95.73,🔴
00:10,정부정책,구인,8910,937876,389509,60190615,105.26,🔴
00:10,정부정책,채용공고,11210,1228814,211611,88295954,109.62,🔴
00:10,정부정책,초등학교방학,7980,978579,149710,5650098,122.63,🔴
00:10,정부정책,소상공인지원,7440,1115810,1478963,22597889,149.97,🔴
00:10,정부정책,아르바이트,11830,1806189,443639,19737948,152.68,🔴
00:10,정부정책,구직,8660,1413863,822865,54151664,163.26,🔴
00:10,정부정책,비지니스,7190,1218177,197356,10739689,169.43,🔴
00:10,정부정책,과자세트,6460,1130980,38014,6567452,175.07,🔴
00:10,정부정책,JOB,5010,1003382,317508,109814741,200.28,🔴
00:10,정부정책,지원금,17990,3873467,1923494,157206199,215.31,🔴
00:10,정부정책,명절선물,8010,1905706,461698,12083346,237.92,🔴
00:10,정부정책,인강,5830,1877644,80088,7512288,322.07,🔴
00:10,정부정책,일자리,13070,4590219,5202339,44854477,351.2,🔴
00:10,정부정책,정부지원사업,6790,2762627,979475,51029564,406.87,🔴
00:10,정부정책,중소기업,8270,3834883,5265596,69831244,463.71,🔴
00:10,정부정책,고용,7110,5887714,5239327,75096373,828.09,🔴
00:10,정부정책,복지,6020,9435453,12034409,167162951,1567.35,🔴
00:10,정부정책,육아,5590,10267414,1240780,38900793,1836.75,🔴
00:10,정부정책,공사,5150,20905469,11843633,107583035,4059.31,🔴
07:42,증권/주식,SK하이닉스,2350000,861175,864214,10727688,0.37,🟢
